date,coupon,price
19960430,8,100.8314012
19960430,8.5,102.703881
19960430,9,104.4216431
19960430,9.5,106.2747883
19960501,5.5,88.95487903
19960501,6,90.78225806
19960501,6.5,93.50100806
19960501,7,96.1108871
19960501,7.5,98.56820565
19960501,8,100.716129
19960501,8.5,102.5504032
19960501,9,104.3407258
19960501,9.5,106.2406452
19960502,5.5,87.8422379
19960502,6,89.68447581
19960502,6.5,92.49697581
19960502,7,95.23001008
19960502,7.5,97.76814516
19960502,8,100.0493952
19960502,8.5,102.0735887
19960502,9,103.9727823
19960502,9.5,105.895373
19960503,5.5,87.52897177
19960503,6,89.39919355
19960503,6.5,92.24294355
19960503,7,95.03024194
19960503,7.5,97.57358871
19960503,8,99.87197581
19960503,8.5,101.9112903
19960503,9,103.8427419
19960503,9.5,105.8001411
19960506,5.5,87.79698589
19960506,6,89.67173387
19960506,6.5,92.51209677
19960506,7,95.25100806
19960506,7.5,97.77122984
19960506,8,100.0375504
19960506,8.5,102.0352823
19960506,9,103.92125
19960506,9.5,105.8381956
19960507,5.5,87.87903226
19960507,6,89.75705645
19960507,6.5,92.57064516
19960507,7,95.31927419
19960507,7.5,97.85987903
19960507,8,100.108871
19960507,8.5,102.0766129
19960507,9,103.9464919
19960507,9.5,105.8510887
19960508,5.5,88.15039063
19960508,6,90.0030957
19960508,6.5,92.84810547
19960508,7,95.53581055
19960508,7.5,98.10162109
19960508,8,100.289082
19960508,8.5,102.1630469
19960508,9,104.0347852
19960508,9.5,105.8938965
19960509,5.5,88.1940625
19960509,6,90.078125
19960509,6.5,92.88
19960509,7,95.5625
19960509,7.5,98.109375
19960509,8,100.3125
19960509,8.5,102.1875
19960509,9,104.06
19960509,9.5,105.921875
19960510,5.5,88.78179688
19960510,6,90.68601563
19960510,6.5,93.435
19960510,7,96.05773438
19960510,7.5,98.57068359
19960510,8,100.7109766
19960510,8.5,102.4619141
19960510,9,104.24625
19960510,9.5,106.0621973
19960513,5.5,88.968125
19960513,6,90.91308594
19960513,6.5,93.59863281
19960513,7,96.21777344
19960513,7.5,98.70996094
19960513,8,100.8125
19960513,8.5,102.5351563
19960513,9,104.2821094
19960513,9.5,106.0850391
19960514,5.5,89.25398438
19960514,6,91.18115234
19960514,6.5,93.86621094
19960514,7,96.4637207
19960514,7.5,98.9296875
19960514,8,100.9633789
19960514,8.5,102.6592578
19960514,9,104.3554688
19960514,9.5,106.1742676
19960515,5.5,89.37234375
19960515,6,91.2578125
19960515,6.5,93.92484375
19960515,7,96.51464844
19960515,7.5,98.97779297
19960515,8,101.0375977
19960515,8.5,102.733418
19960515,9,104.3920898
19960515,9.5,106.2028711
19960516,5.5,88.93882813
19960516,6,90.86181641
19960516,6.5,93.56011719
19960516,7,96.17773438
19960516,7.5,98.67358398
19960516,8,100.798584
19960516,8.5,102.5458984
19960516,9,104.2539063
19960516,9.5,106.0922559
19960517,5.5,89.17125
19960517,6,91.09375
19960517,6.5,93.80328125
19960517,7,96.421875
19960517,7.5,98.90625
19960517,8,100.9960938
19960517,8.5,102.7265625
19960517,9,104.3535156
19960517,9.5,106.1675781
19960520,5.5,89.50007813
19960520,6,91.38423828
19960520,6.5,94.07335938
19960520,7,96.66458984
19960520,7.5,99.14396484
19960520,8,101.1953125
19960520,8.5,102.8935547
19960520,9,104.4572754
19960520,9.5,106.2371387
19960521,5.5,89.3215625
19960521,6,91.203125
19960521,6.5,93.91054688
19960521,7,96.52929688
19960521,7.5,99.01171875
19960521,8,101.0753906
19960521,8.5,102.8071875
19960521,9,104.4228516
19960521,9.5,106.2188672
19960522,5.5,89.41210938
19960522,6,91.33349609
19960522,6.5,94.02563477
19960522,7,96.58986328
19960522,7.5,99.03474609
19960522,8,101.0952148
19960522,8.5,102.8230371
19960522,9,104.4428711
19960522,9.5,106.2012207
19960523,5.5,89.05203125
19960523,6,90.9140625
19960523,6.5,93.63611328
19960523,7,96.24169922
19960523,7.5,98.703125
19960523,8,100.7900391
19960523,8.5,102.6342773
19960523,9,104.300293
19960523,9.5,106.1666992
19960524,5.5,89.21101563
19960524,6,91.09448242
19960524,6.5,93.80175781
19960524,7,96.40678711
19960524,7.5,98.84392578
19960524,8,100.8681641
19960524,8.5,102.6860352
19960524,9,104.3480664
19960524,9.5,106.1953027
19960528,5.5,89.10351563
19960528,6,90.96560547
19960528,6.5,93.65722656
19960528,7,96.26367188
19960528,7.5,98.67651367
19960528,8,100.7485352
19960528,8.5,102.5983984
19960528,9,104.2819824
19960528,9.5,106.120498
19960529,5.5,88.518125
19960529,6,90.40917969
19960529,6.5,93.12109375
19960529,7,95.759375
19960529,7.5,98.21875
19960529,8,100.3496094
19960529,8.5,102.2905469
19960529,9,104.0595703
19960529,9.5,106.0245703
19960530,5.5,88.47710938
19960530,6,90.33560547
19960530,6.5,93.06998047
19960530,7,95.71736328
19960530,7.5,98.17904297
19960530,8,100.3609961
19960530,8.5,102.2635547
19960530,9,104.0742188
19960530,9.5,106.0217676
19960531,5.5,87.97515625
19960531,6,89.8203125
19960531,6.5,92.54882813
19960531,7,95.26757813
19960531,7.5,97.765625
19960531,8,99.99242188
19960531,8.5,101.9869531
19960531,9,103.8720703
